tweet_id,true_intent,pred_intent
237567,subscription_or_payment,subscription_or_payment
189319,app_or_technical_issue,app_or_technical_issue
1346917,other_or_unclear,other_or_unclear
79413,account_or_access,account_or_access
2081623,playback_issue,playback_issue
1218594,other_or_unclear,other_or_unclear
1609242,music_or_content_request,music_or_content_request
1182773,account_or_access,account_or_access
2749507,other_or_unclear,other_or_unclear
190086,account_or_access,account_or_access
1089993,other_or_unclear,other_or_unclear
1176569,other_or_unclear,other_or_unclear
2877415,playback_issue,playback_issue
1851961,other_or_unclear,other_or_unclear
189823,subscription_or_payment,subscription_or_payment
1592990,other_or_unclear,other_or_unclear
343534,app_or_technical_issue,app_or_technical_issue
2245969,other_or_unclear,other_or_unclear
611411,feature_or_product_question,feature_or_product_question
